,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
230,Basques Region,QC,8694.0,Census division,48.1,-69.06667,743.0,2014,1088.4
231,Basques Region,QC,8694.0,Census division,48.1,-69.06667,595.0,2015,1113.9
232,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,2027.0,2008,1357.159959
233,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,2014.0,2009,1450.0
234,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,1682.0,2010,1493.7
235,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,2007.0,2011,1346.6
236,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,1125.0,2012,1310.8
237,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,1355.0,2013,1200.9
238,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,1043.0,2014,1088.4
239,Bathurst,NB,4797.0,Census subdivision,47.6184,-65.6513,838.0,2015,1113.9
240,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1223.0,2008,1357.159959
241,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1497.0,2009,1450.0
242,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1414.0,2010,1493.7
243,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1562.0,2011,1346.6
244,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1915.0,2012,1310.8
245,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,1812.0,2013,1200.9
246,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,0.0,2014,1088.4
247,Bay St. George District,NL,1103.0,Designated Place,48.4275,-58.47778,0.0,2015,1113.9
248,Beauce-Sartigan Region,QC,52406.0,Census division,46.0551,-70.2328,349.0,2008,1357.159959
249,Beauce-Sartigan Region,QC,52406.0,Census division,46.0551,-70.2328,526.0,2009,1450.0
250,Beauce-Sartigan Region,QC,52406.0,Census division,46.0551,-70.2328,465.0,2010,1493.7
251,Beauce-Sartigan Region,QC,52406.0,Census division,46.0551,-70.2328,484.0,2011,1346.6
252,Beauce-Sartigan Region,QC,52406.0,Census division,46.0551,-70.2328,379.0,2012,1310.8
