,Characters,Dialogue,Movie
604,PADME, Nothing . . . nothing . . .,Revenge of the Sith
605,ANAKIN, You're frightened.  Tell me what's going on!,Revenge of the Sith
607,PADME, You've been gone five months . . . it's been very hard for me. I've never felt so alone. There's . . .,Revenge of the Sith
608,ANAKIN, . . . Is there someone else?,Revenge of the Sith
609,PADME,  No! Why do you think that? Your jealousy upsets me so much Anakin. I do nothing to betray you yet you still don't trust me. Nothing has changed.,Revenge of the Sith
610,ANAKIN,  I'm afraid of losing you Padme . . . that's all.,Revenge of the Sith
611,PADME, I will never stop loving you Anakin. My only fear is losing you.,Revenge of the Sith
612,ANAKIN, It's just that I've never seen you like this . . .,Revenge of the Sith
613,PADME, Something wonderful has happened.,Revenge of the Sith
615,PADME,  I'm . . . Annie I'm pregnant.,Revenge of the Sith
617,ANAKIN, That's . . . that's wonderful.,Revenge of the Sith
618,PADME, What are we going to do?,Revenge of the Sith
619,ANAKIN, We're not going to worry about anything right now all right? This is a happy moment. The happiest moment of my life.,Revenge of the Sith
622,SUPER BATTLE DROID G21, The planet is secure sir. The population is under control.,Revenge of the Sith
623,GENERAL GRIEVOUS, Good. Where is the Separatist Council?,Revenge of the Sith
624,SUPER BATTLE DROID G21, This way sir ...,Revenge of the Sith
628,GENERAL GRIEVOUS, Yes Lord Sidious.,Revenge of the Sith
629,DARTH SlDIOUS, General Grievous I suggest you move the Separatist leaders to Mustafar.,Revenge of the Sith
630,GENERAL GRIEVOUS, It will be done My Lord.,Revenge of the Sith
631,DARTH SlDIOUS, The end of the war is near General and I promise you victory is assured.,Revenge of the Sith
633,GENERAL GRIEVOUS, But the loss of Count Dooku?,Revenge of the Sith
634,DARTH SlDIOUS, His death was a necessary loss which will ensure our victory. Soon I will have a new apprentice . . . one far younger and more powerful than Lord Tyranus.,Revenge of the Sith
637,ANAKIN, . . . every second I was thinking of you. Protecting the endless nameless Outer Rim settlements became a torture . . . the battles were easy the longing became unbearable . . . I've never been so happy as I am at this moment.,Revenge of the Sith
638,PADME, Annie I want to have our baby back home on Naboo. We could go to the lake country where no one would know . . . where we would be safe. I could go early-and fix up the baby's room. I know the perfect spot right by the gardens.,Revenge of the Sith
639,ANAKIN, You are so beautiful!,Revenge of the Sith
640,PADME, It's only because I'm so in love . . .,Revenge of the Sith
641,ANAKIN, No it's because I'm so in love with you.,Revenge of the Sith
642,PADME, So love has blinded you?,Revenge of the Sith
643,ANAKIN, Well that's not exactly what I meant . . .,Revenge of the Sith
644,PADME, But it's probably true!,Revenge of the Sith
646,ANAKIN, I haven't laughed in so long . . .,Revenge of the Sith
647,PADME, Neither have I.,Revenge of the Sith
650,PADME, Anakin help me! Help Anakin! Anakin I love you. I love you.,Revenge of the Sith
654,PADME, Anakin??,Revenge of the Sith
658,PADME, What's bothering you?,Revenge of the Sith
659,ANAKIN, Nothing . . .,Revenge of the Sith
661,ANAKIN,  I remember when I gave this to you.,Revenge of the Sith
662,PADME, Anakin how long is it going to take for us to be honest with each other?,Revenge of the Sith
663,ANAKIN, It was a dream.,Revenge of the Sith
664,PADME, Bad?,Revenge of the Sith
665,ANAKIN, Like the ones I used to have about my mother just before she died.,Revenge of the Sith
666,PADME, And?,Revenge of the Sith
667,ANAKIN, It was about you.,Revenge of the Sith
669,PADME, Tell me.,Revenge of the Sith
670,ANAKIN, It was only a dream.,Revenge of the Sith
672,ANAKIN,  You die in childbirth . . .,Revenge of the Sith
673,PADME, And the baby?,Revenge of the Sith
674,ANAKIN, I don't know.,Revenge of the Sith
675,PADME, It was only a dream.,Revenge of the Sith
677,ANAKIN, . . . I won't let this one become real Padme.,Revenge of the Sith
679,PADME, Anakin this baby will change our lives. I doubt the Queen will continue to allow me to serve in the Senate and if the Council discovers you are the father you will be expelled from the Jedi Order.,Revenge of the Sith
680,ANAKIN, I know .,Revenge of the Sith
681,PADME, Anakin do you think Obi-Wan might be able to help us?,Revenge of the Sith
682,ANAKIN,  Have you told him anything?,Revenge of the Sith
683,PADME, No but he's your mentor your best friend . . . he must suspect something.,Revenge of the Sith
