,Characters,Dialogue,Movie,Gender,length
1305,K-2SO, Captain Andor requesting a delay on squadron support. Alliance forces onsite.Please confirm.,Rogue One,Droid,12
1306,K-2SO, Captain Andor requesting a delay on squadron support. Alliance forces onsite.Please confirm.,Rogue One,Droid,12
1307,GENERAL DRAVEN, Get the squadron leader on Get him on now!,Rogue One,,9
1308,REBEL,They're already engaged sir.,Rogue One,Male,4
1309,CASSIAN, Dead. No.,Rogue One,Male,2
1310,KRENNIC,Return fire! To your stations. Get our fighters in the air now!,Rogue One,Male,12
1311,JYN ERSO,Father!,Rogue One,Female,1
1312,SOLDIER, Go go go go.,Rogue One,Male,4
1313,SOLDIER, Fall back! Fall back!,Rogue One,Male,4
1314,SOLDIER, Director we need to evacuate.,Rogue One,Male,5
1315,JYN ERSO, Papa. Papa it's me. It's Jyn.,Rogue One,Female,6
1316,GALEN ERSO, Jyn.Stardust.,Rogue One,Male,1
1317,JYN ERSO, Papa.I've seen your message. The hologram I've seen it.,Rogue One,Female,9
1318,GALEN ERSO, It must be destroyed.,Rogue One,Male,4
1319,JYN ERSO, I know. I know. We will.,Rogue One,Female,6
1320,GALEN ERSO, Jyn.Look at you.I've so much to tell you.,Rogue One,Male,8
1321,JYN ERSO, Papa.No. No. Papa!Papa! Come on.,Rogue One,Female,5
1322,STORMTROOPER, Over there take them down.,Rogue One,Male,5
1323,CASSIAN, Come on. Jyn we've got to go. Come on.,Rogue One,Male,9
1324,JYN ERSO, I can't leave him,Rogue One,Female,4
1325,CASSIAN, Listen to me. He's gone. There's nothing you can do. Come on.,Rogue One,Male,12
1326,JYN ERSO, I can't leave him.,Rogue One,Female,4
1327,CASSIAN, Come on! Help me. Move!,Rogue One,Male,5
1328,CASSIAN, Down!,Rogue One,Male,1
1329,CASSIAN,Come on. Come on.,Rogue One,Male,4
1330,K-2SO, Well done.You're a Rebel now.,Rogue One,Droid,5
1331,K-2SO, Well done.You're a Rebel now.,Rogue One,Droid,5
1332,CASSIAN, Let's go let's go. Come on let's move! Come on let's get out of here. Move move move. Okay K-2 let's go.,Rogue One,Male,22
1333,K-2SO, Copy that.,Rogue One,Droid,2
1334,K-2SO, Copy that.,Rogue One,Droid,2
1335,CASSIAN, Ion thrusters low until we cleared the storm.,Rogue One,Male,8
1336,K-2SO, Understood.,Rogue One,Droid,1
1337,K-2SO, Understood.,Rogue One,Droid,1
1338,JYN ERSO, You lied to me.,Rogue One,Female,4
1339,CASSIAN, You're in shock.,Rogue One,Male,3
1340,JYN ERSO, You went up there to kill my father.,Rogue One,Female,8
1341,CASSIAN, You don't know what you're talking about.,Rogue One,Male,7
1342,JYN ERSO, Deny it.,Rogue One,Female,2
1343,CASSIAN, You're in shock and looking for someplace to put it.,Rogue One,Male,10
1344,JYN ERSO, I've seen it before.,Rogue One,Female,4
1345,CASSIAN, I bet you have.,Rogue One,Male,4
1346,JYN ERSO, They know.You lied about why we came here and you lied about why you went up alone.,Rogue One,Female,17
1347,CASSIAN, I had every chance to pull the trigger. But did I? Did I?,Rogue One,Male,13
1348,JYN ERSO, You might as well have. My father was living proof and you put him at risk. Those were Alliance bombs that killed him!,Rogue One,Female,23
1349,CASSIAN, I had orders! Orders that I disobeyed! But you wouldn't understand that.,Rogue One,Male,12
1350,JYN ERSO, Orders?When you know they're wrong? You might as well be a stormtrooper.,Rogue One,Female,12
1351,CASSIAN, What do you know? We don't all have the luxury of deciding when and where we want to care about something. Suddenly the Rebellion is real for you? Some of us live it. I've been in this fight since I was 6 years old. You're not the only one who lost everything. Some of us just decided to do something about it.,Rogue One,Male,62
1352,JYN ERSO, You can't talk your way around this.,Rogue One,Female,7
1353,CASSIAN, I don't have to. Yavin Four! Make sure they know we're coming in with a stolen ship.,Rogue One,Male,17
1354,VANEE, My lord Director Krennic has arrived.,Rogue One,Male,6
1355,DARTH VADER, Director Krennic.,Rogue One,Male,2
1356,KRENNIC, Lord Vader.,Rogue One,Male,2
1357,DARTH VADER,You seem unsettled.,Rogue One,Male,3
1358,KRENNIC,No. Just pressed for time. There're a great many things to attend to.,Rogue One,Male,13
1359,DARTH VADER,My apologies. You do have a great many things to explain.,Rogue One,Male,11
1360,KRENNIC,I've delivered the weapon the Emperor requested. I deserve an audience to make certain he understands its remarkable… potential.,Rogue One,Male,19
1361,DARTH VADER,Its power to create problems has certainly been confirmed. A city destroyed. An Imperial facility openly attacked.,Rogue One,Male,17
1362,KRENNIC,It was Governor Tarkin that suggested the test.,Rogue One,Male,8
1363,DARTH VADER,You were not summoned here to grovel Director Krennic.,Rogue One,Male,9
1364,KRENNIC, No it’s...,Rogue One,Male,2
1365,DARTH VADER, There is no Death Star. The Senate has been informed that Jedha was destroyed in a mining disaster.,Rogue One,Male,18
1366,KRENNIC,Yes my lord.,Rogue One,Male,3
