,Characters,Dialogue,Movie
502,LUKE,I can't get involved! I've got work                          to do! It's not that I like the                          Empire. I hate it! But there's nothing                          I can do about it right now. It's                          such a long way from here.,A New Hope
503,BEN,That's your uncle talking.,A New Hope
504,LUKE,(sighing)                         Oh God my uncle. How am I ever                          going to explain this?,A New Hope
505,BEN,Learn about the Force Luke.,A New Hope
506,LUKE,Look I can take you as far as                          Anchorhead. You can get a transport                          there to Mos Eisley or wherever you're                          going.,A New Hope
507,BEN,You must do what you feel is right                          of course.,A New Hope
512,TAGGE,Until this battle station is fully                          operational we are vulnerable. The                          Rebel Alliance is too well equipped.                          They're more dangerous than you                          realize.,A New Hope
514,MOTTI,Dangerous to your starfleet                          Commander not to this battle station!,A New Hope
515,TAGGE,The Rebellion will continue to gain                          a support in the Imperial Senate as                          long as....,A New Hope
517,TARKIN,The Imperial Senate will no longer                          be of any concern to us. I've just                          received word that the Emperor has                          dissolved the council permanently.                          The last remnants of the Old Republic                          have been swept away.,A New Hope
518,TAGGE,That's impossible! How will the                          Emperor maintain control without the                          bureaucracy?,A New Hope
519,TARKIN,The regional governors now have direct                          control over territories. Fear will                          keep the local systems in line. Fear                          of this battle station.,A New Hope
520,TAGGE,And what of the Rebellion? If the                          Rebels have obtained a complete                          technical readout of this station                          it is possible however unlikely                          that they might find a weakness and                          exploit it.,A New Hope
521,VADER,The plans you refer to will soon be                          back in our hands.,A New Hope
522,MOTTI,Any attack made by the Rebels against                          this station would be a useless                          gesture no matter what technical                          data they've obtained. This station                          is now the ultimate power in the                          universe. I suggest we use it!,A New Hope
523,VADER,Don't be too proud of this                          technological terror you've                          constructed. The ability to destroy                          a planet is insignificant next to                          the power of the Force.,A New Hope
524,MOTTI,Don't try to frighten us with your                          sorcerer's ways Lord Vader. Your                          sad devotion to that ancient religion                          has not helped you conjure up the                          stolen data tapes or given you                          clairvoyance enough to find the                          Rebel's hidden fort...,A New Hope
526,VADER,I find your lack of faith disturbing.,A New Hope
527,TARKIN,Enough of this! Vader release him!,A New Hope
528,VADER,As you wish.,A New Hope
529,TARKIN,This bickering is pointless. Lord                          Vader will provide us with the                          location of the Rebel fortress by                          the time this station is operational.                          We will then crush the Rebellion                          with one swift stroke.,A New Hope
532,LUKE,It looks like Sandpeople did this                          all right. Look here are Gaffi                          sticks Bantha tracks. It's just...                          I never heard of them hitting anything                          this big before.,A New Hope
534,BEN,They didn't. But we are meant to                          think they did. These tracks are                          side by side. Sandpeople always ride                          single file to hide there numbers.,A New Hope
535,LUKE,These are the same Jawas that sold                          us Artoo and Threepio.,A New Hope
536,BEN,And these blast points too accurate                          for Sandpeople. Only Imperial                          stormtroopers are so precise.,A New Hope
537,LUKE,Why would Imperial troops want to                          slaughter Jawas?,A New Hope
539,LUKE,If they traced the robots here they                          may have learned who they sold them                          to. And that would lead them home!,A New Hope
541,BEN,Wait Luke! It's too dangerous.,A New Hope
547,LUKE,Uncle Owen! Aunt Beru! Uncle Owen!,A New Hope
553,VADER,And now Your Highness we will                          discuss the location of your hidden                          Rebel base.,A New Hope
557,BEN,There's nothing you could have done                          Luke had you been there. You'd have                          been killed too and the droids                          would be in the hands of the Empire.,A New Hope
558,LUKE,I want to come with you to Alderaan.                          There's nothing here for me now. I                          want to learn the ways of the Force                          and become a Jedi like my father.,A New Hope
561,BEN,Mos Eisley Spaceport. You will never                          find a more wretched hive of scum                          and villainy. We must be cautious.,A New Hope
565,TROOPER,How long have you had these droids?,A New Hope
566,LUKE,About three or four seasons.,A New Hope
