,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
288,Netherlands,Eritrea,2016,6,52.132633,5.291266,15.179383999999999,39.782334000000006
289,Netherlands,Ethiopia,2016,38,52.132633,5.291266,9.145,40.489672999999996
297,Netherlands,Syria,2016,601,52.132633,5.291266,34.802075,38.996815000000005
298,Norway,Afghanistan,2016,326,60.472024,8.468946,33.93911,67.709953
304,Norway,Eritrea,2016,7,60.472024,8.468946,15.179383999999999,39.782334000000006
306,Norway,Iran,2016,19,60.472024,8.468946,32.427908,53.68804599999999
310,Norway,Sudan,2016,8,60.472024,8.468946,12.862807,30.217636
312,Norway,Syria,2016,2902,60.472024,8.468946,34.802075,38.996815000000005
313,New Zealand,Afghanistan,2016,7,-40.900557,174.88597099999998,33.93911,67.709953
314,New Zealand,Bangladesh,2016,14,-40.900557,174.88597099999998,23.684994,90.35633100000001
316,New Zealand,Brazil,2016,6,-40.900557,174.88597099999998,-14.235004,-51.92528
317,New Zealand,China,2016,64,-40.900557,174.88597099999998,35.86166,104.195397
320,New Zealand,Colombia,2016,8,-40.900557,174.88597099999998,4.570868,-74.297333
327,New Zealand,Fiji,2016,12,-40.900557,174.88597099999998,-16.578193,179.414413
332,New Zealand,Hungary,2016,12,-40.900557,174.88597099999998,47.162494,19.503304
333,New Zealand,Indonesia,2016,5,-40.900557,174.88597099999998,-0.789275,113.921327
334,New Zealand,India,2016,31,-40.900557,174.88597099999998,20.593684,78.96288
335,New Zealand,Iran,2016,15,-40.900557,174.88597099999998,32.427908,53.68804599999999
336,New Zealand,Iraq,2016,24,-40.900557,174.88597099999998,33.223191,43.679291
337,New Zealand,Jordan,2016,5,-40.900557,174.88597099999998,30.585164000000002,36.238414
342,New Zealand,Libya,2016,6,-40.900557,174.88597099999998,26.3351,17.228331
343,New Zealand,Sri Lanka,2016,15,-40.900557,174.88597099999998,7.873054,80.77179699999999
345,New Zealand,Malaysia,2016,11,-40.900557,174.88597099999998,4.210483999999999,101.97576600000001
349,New Zealand,Pakistan,2016,14,-40.900557,174.88597099999998,30.375321000000003,69.345116
350,New Zealand,Philippines,2016,5,-40.900557,174.88597099999998,12.879721,121.77401699999999
353,New Zealand,Saudi Arabia,2016,24,-40.900557,174.88597099999998,23.885942,45.079162
357,New Zealand,Syria,2016,9,-40.900557,174.88597099999998,34.802075,38.996815000000005
360,New Zealand,Turkey,2016,19,-40.900557,174.88597099999998,38.963745,35.243322
361,New Zealand,Tuvalu,2016,6,-40.900557,174.88597099999998,-7.109535,177.64933
365,New Zealand,South Africa,2016,20,-40.900557,174.88597099999998,-30.559482,22.937506
366,New Zealand,Zimbabwe,2016,8,-40.900557,174.88597099999998,-19.015438,29.154857
367,Sweden,Afghanistan,2016,20,60.128161,18.643501,33.93911,67.709953
368,Sweden,Burundi,2016,26,60.128161,18.643501,-3.3730559999999996,29.918885999999997
372,Sweden,Egypt,2016,5,60.128161,18.643501,26.820553000000004,30.802497999999996
373,Sweden,Eritrea,2016,265,60.128161,18.643501,15.179383999999999,39.782334000000006
374,Sweden,Ethiopia,2016,76,60.128161,18.643501,9.145,40.489672999999996
375,Sweden,Guinea,2016,7,60.128161,18.643501,9.945587,-9.696645
377,Sweden,Iran,2016,12,60.128161,18.643501,32.427908,53.68804599999999
378,Sweden,Iraq,2016,6,60.128161,18.643501,33.223191,43.679291
384,Sweden,Rwanda,2016,7,60.128161,18.643501,-1.940278,29.873888
386,Sweden,Sudan,2016,43,60.128161,18.643501,12.862807,30.217636
387,Sweden,Somalia,2016,218,60.128161,18.643501,5.152149,46.199616
388,Sweden,Sudan,2016,8,60.128161,18.643501,12.862807,30.217636
390,Sweden,Syria,2016,688,60.128161,18.643501,34.802075,38.996815000000005
391,Sweden,Turkey,2016,9,60.128161,18.643501,38.963745,35.243322
394,Sweden,Zimbabwe,2016,9,60.128161,18.643501,-19.015438,29.154857
395,United States,Afghanistan,2016,2930,37.09024,-95.712891,33.93911,67.709953
398,United States,Armenia,2016,64,37.09024,-95.712891,40.069099,45.038189
399,United States,Azerbaijan,2016,39,37.09024,-95.712891,40.143105,47.576927000000005
400,United States,Burundi,2016,777,37.09024,-95.712891,-3.3730559999999996,29.918885999999997
404,United States,Belarus,2016,187,37.09024,-95.712891,53.709807,27.953389
