year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2002,PRK,SDN,ALL,1975,0.0000036%
2002,PRK,TZA,ALL,64140,0.00012%
2002,PRK,UGA,ALL,31037,0.000057%
2002,PRK,ZAF,ALL,7904286,0.015%
2002,PRK,BGD,ALL,17214,0.000032%
2002,PRK,BHR,ALL,700435,0.0013%
2002,PRK,CHN,ALL,461211039,0.85%
2002,PRK,GEO,ALL,43200,0.000080%
2002,PRK,HKG,ALL,28570079,0.053%
2002,PRK,IDN,ALL,1561961,0.0029%
2002,PRK,IND,ALL,176976780,0.33%
2002,PRK,ISR,ALL,682000,0.0013%
2002,PRK,JPN,ALL,110631957,0.20%
2002,PRK,KGZ,ALL,15989,0.000029%
2002,PRK,KHM,ALL,37223,0.000069%
2002,PRK,LBN,ALL,5543,0.000010%
2002,PRK,LKA,ALL,36672,0.000068%
2002,PRK,MAC,ALL,251605,0.00046%
2002,PRK,MYS,ALL,3734638,0.0069%
2002,PRK,PHL,ALL,425519,0.00078%
2002,PRK,QAT,ALL,5992096,0.011%
2002,PRK,SGP,ALL,77283694,0.14%
2002,PRK,SYR,ALL,32865,0.000061%
2002,PRK,THA,ALL,168777115,0.31%
2002,PRK,TUR,ALL,1600176,0.0030%
2002,PRK,VNM,ALL,3812421,0.0070%
2002,PRK,AUT,ALL,4237148,0.0078%
2002,PRK,BGR,ALL,97117,0.00018%
2002,PRK,BLR,ALL,1931000,0.0036%
2002,PRK,BLX,ALL,6817872,0.013%
2002,PRK,CHE,ALL,13146374,0.024%
2002,PRK,CZE,ALL,989673,0.0018%
2002,PRK,DEU,ALL,138120000,0.25%
2002,PRK,DNK,ALL,11291925,0.021%
2002,PRK,ESP,ALL,21248171,0.039%
2002,PRK,FIN,ALL,161825,0.00030%
2002,PRK,FRA,ALL,7333649,0.014%
2002,PRK,GBR,ALL,23810407,0.044%
2002,PRK,GRC,ALL,7588495,0.014%
2002,PRK,HRV,ALL,64502,0.00012%
2002,PRK,HUN,ALL,11000,0.000020%
2002,PRK,IRL,ALL,108663,0.00020%
2002,PRK,ITA,ALL,14977107,0.028%
2002,PRK,LTU,ALL,13482,0.000025%
