,Movies,count,mean
517,The Story of Marie and Julien,2,6.0
518,The Strange Case of Angelica,1,4.0
519,The Stuart Hall Project,1,1.0
520,The Sun Also Rises,1,3.0
521,The Taste of Others,1,5.0
522,The Three Burials of Melquiades Estrada,1,1.0
523,The Tiger and the Snow,1,2.0
524,The Time That Remains,1,1.0
525,The Tree of Life,23,3.608695652173913
526,The Turin Horse,6,5.0
527,The White Meadows,1,6.0
528,The White Ribbon,13,4.3076923076923075
529,The Wind Rises,1,6.0
530,The Wolf of Wall Street,4,3.75
531,The World,2,5.0
532,The Wrestler,2,9.5
533,The Yards,1,4.0
534,Theeb,1,1.0
535,There Will Be Blood,35,3.9714285714285715
536,These Encounters of Theirs,1,1.0
537,This Is England,1,10.0
538,This Is Not a Film,1,8.0
539,This Is the End,1,4.0
540,Thithi,1,7.0
541,Three Monkeys,1,5.0
542,Three Times,1,6.0
543,Tie Xi Qu: West of the Tracks,2,3.5
544,Timbuktu,9,4.888888888888889
545,Time Out,1,4.0
546,Tinker Tailor Soldier Spy,1,8.0
547,To Die Like a Man,1,9.0
548,Toni Erdmann,6,7.5
549,Tony Manero,1,10.0
550,Toy Story 3,3,7.0
551,Traffic,2,9.5
552,Triple Agent,1,2.0
553,Tropic Thunder,2,8.5
554,Tropical Malady,6,4.166666666666667
555,Twixt,1,8.0
556,Two Lovers,1,9.0
557,Udaan,1,7.0
558,Un lac,1,6.0
559,Uncle Boonmee Who Can Recall His Past Lives,9,5.111111111111111
560,Under the Skin,7,5.714285714285714
561,United 93,2,2.0
562,Vera Drake,2,7.0
563,Vincere,1,2.0
564,WALL-E,11,5.2727272727272725
565,Waiting for Happiness,2,2.5
566,Waking Life,2,4.0
567,Waltz with Bashir,4,7.5
568,Warming by the Devil's Fire,1,6.0
569,We Need to Talk About Kevin,3,7.0
570,Weekend,4,8.0
571,Wendy and Lucy,2,6.0
572,Werckmeister Harmonies,4,1.5
573,Wet Hot American Summer,1,6.0
574,What Time Is It There?,1,5.0
575,When I Saw You,1,5.0
576,When the Levees Broke: A Requiem in Four Acts,1,2.0
577,Where Do We Go Now?,1,9.0
578,Whiplash,2,7.5
579,White Material,3,3.6666666666666665
580,Wild,1,10.0
581,Wild Tales,3,6.0
582,Winter Sleep,3,5.0
583,Winter's Bone,1,9.0
584,Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,1,1.0
585,Woman on the Beach,1,9.0
586,World of Tomorrow,2,6.5
587,Y Tu Mamá También,3,5.0
588,Yi Yi: A One and a Two,22,3.5
589,Yossi & Jagger,1,10.0
590,You Ain’t Seen Nothin’ Yet,1,1.0
591,You Can Count On Me,3,5.666666666666667
592,You Can Count on Me Me,1,9.0
593,You Will Meet a Tall Dark Stranger,1,9.0
594,"You, The Living",2,9.0
595,Young Adult,1,7.0
596,Zero Dark Thirty,5,3.4
597,Zodiac,15,3.6666666666666665
