,10,Script,test,Characters,Dialogue,test_2,Movie
4560,,OBI-WAN: You should be a Jedi Padme.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, You should be a Jedi Padme.,True,Revenge of the Sith
4561,,PADME: You're not very good at hiding your feelings.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, You're not very good at hiding your feelings.,True,Revenge of the Sith
4562,,OBI-WAN: It's Anakin . . . He's becoming moody and detached. He's been put in a difficult position as the Chancellor's representative . . . but I think it's more than that. I was hoping he may have talked to you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, It's Anakin . . . He's becoming moody and detached. He's been put in a difficult position as the Chancellor's representative . . . but I think it's more than that. I was hoping he may have talked to you.,True,Revenge of the Sith
4563,,PADME: Why would he talk to me about his work?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Why would he talk to me about his work?,True,Revenge of the Sith
4565,,OBI-WAN: Neither of you is very good at hiding your feelings either.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Neither of you is very good at hiding your feelings either.,True,Revenge of the Sith
4566,,PADME: Don't give me that look.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Don't give me that look.,True,Revenge of the Sith
4567,,OBI-WAN: I know how he feels about you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I know how he feels about you.,True,Revenge of the Sith
4568,,PADME: (nervous) What did he say?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME,  What did he say?,True,Revenge of the Sith
4569,,OBI-WAN: Nothing. He didn't have to.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Nothing. He didn't have to.,True,Revenge of the Sith
4571,,PADME: I don't know what you're talking about.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I don't know what you're talking about.,True,Revenge of the Sith
4572,,OBI-WAN: I know you both too well. I can see you two are in love. Padme I'm worried about him.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I know you both too well. I can see you two are in love. Padme I'm worried about him.,True,Revenge of the Sith
4574,,OBI-WAN: (continuing) I fear your relationship has confused him. He's changed considerably since we returned . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  I fear your relationship has confused him. He's changed considerably since we returned . . .,True,Revenge of the Sith
4576,,OBI-WAN: (continuing) Padme I'm not telling the Council about any of this. I ... I hope I didn't upset you. We're all friends I care about both of you . . .NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  Padme I'm not telling the Council about any of this. I ... I hope I didn't upset you. We're all friends I care about both of you . . .,True,Revenge of the Sith
4577,,PADME: Thank you Obi-Wan.NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Thank you Obi-Wan.,True,Revenge of the Sith
4578,,OBI-WAN: Please do what you can to help him.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Please do what you can to help him.,True,Revenge of the Sith
4581,,PADME: We cannot let this turn into another war.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, We cannot let this turn into another war.,True,Revenge of the Sith
4582,,BAIL ORGANA: Absolutely that is the last thing we want.NoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, Absolutely that is the last thing we want.,True,Revenge of the Sith
4583,,MON MOTHMA: We are hoping to form an alliance in the Senate to stop the Chancellor from further subverting the constitution that's all.NoneNoneNoneNoneNoneNoneNoneNone,True,MON MOTHMA, We are hoping to form an alliance in the Senate to stop the Chancellor from further subverting the constitution that's all.,True,Revenge of the Sith
4584,,PADME: I know a Jedi I feel it would be wise to consult.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I know a Jedi I feel it would be wise to consult.,True,Revenge of the Sith
4585,,BANA BREEMU: That would be dangerous.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BANA BREEMU, That would be dangerous.,True,Revenge of the Sith
4586,,MON MOTHMA: We don't know where the Jedi stand in all this.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MON MOTHMA, We don't know where the Jedi stand in all this.,True,Revenge of the Sith
4587,,PADME: I only wish to discuss this with one . . . one I trust.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I only wish to discuss this with one . . . one I trust.,True,Revenge of the Sith
4588,,GiDDEAN DANU: Going against the Chancellor without the support of the Jedi is risky.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,GiDDEAN DANU, Going against the Chancellor without the support of the Jedi is risky.,True,Revenge of the Sith
4589,,PADME: The Jedi aren't any happier with the situation than we are . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, The Jedi aren't any happier with the situation than we are . . .,True,Revenge of the Sith
4590,,CHI EEKWAY: Patience Senator.NoneNoneNoneNoneNoneNoneNoneNone,True,CHI EEKWAY, Patience Senator.,True,Revenge of the Sith
