,Characters,Script,Test,Movie
305,CAPT. PANAKA," This is a dangerous situation Your Highness. Our security
volunteers will be no match against a battle-hardened Federation army",False,The Phantom Menace
306,CAPT. PANAKA," Getting past their blockade is impossible Your Highness.
Any attempt to escape will be dangerous",False,The Phantom Menace
307,CAPT. PANAKA,Yes Your Highness,False,The Phantom Menace
308,CAPT. PANAKA,Please Your Majesty stay here...where it's safe,False,The Phantom Menace
309,CAPT. TARPALS,Ouch time Binks... Ouch time for all-n youse.,False,The Phantom Menace
310,CAPTAIN,Yes sir,False,The Phantom Menace
311,CAPTAIN,"  With all due respect for the Trade Federation the
Ambassodors for the Supreme Chancellor wish to board immediately",False,The Phantom Menace
312,MACE WINDU,A Sith Lord?!,False,The Phantom Menace
313,MACE WINDU,Be mindful of your feelings..,False,The Phantom Menace
314,MACE WINDU,His cells contain a high concentration of midi-chlorians,False,The Phantom Menace
315,MACE WINDU,We forbid it,False,The Phantom Menace
316,MACE WINDU,Bring him before us then,False,The Phantom Menace
317,MACE WINDU," Now is not the time for this...the Senate is voting for a new
Spreme Chancellor. Queen Amidala is returning home which will put pressure
on the Federation and could widen the confrontation",False,The Phantom Menace
318,MACE WINDU,He is your ward Qui-Gon...we will not dispute that,False,The Phantom Menace
319,MACE WINDU,But which one was destroyed the master or the apprentice?,False,The Phantom Menace
320,MACE WINDU,Located around a person,False,The Phantom Menace
321,MACE WINDU,I do not believe they could have returned without us knowing,False,The Phantom Menace
322,MACE WINDU,Afraid to give up your life,False,The Phantom Menace
323,MACE WINDU," Protect the Queen but do not intercede if it comes to war
until we have the Senate's approval",False,The Phantom Menace
324,MACE WINDU," You're referring to the prophesy of the one who will bring
balance to the Force...you believe it's this boy?",False,The Phantom Menace
325,MACE WINDU," Go with the Queen to Naboo and discover the identity of the
dark warrior. That is the clue we need to unravel this mystery of the Sith.",False,The Phantom Menace
326,MACE WINDU," This attack was with purpose that is clear and I agree the
Queen is the target",False,The Phantom Menace
327,MACE WINDU," We will use all our resources here to unravel this mystery and
discover the identity of your attacker... May the Force be with you",False,The Phantom Menace
328,,,,The Phantom Menace
329,MAD AMEDDA,The motion has been seconded by Bail Organa of Alderaan.,False,The Phantom Menace
330,YODA," Our own council we will keep on who is ready. More to learn he
has..",False,The Phantom Menace
331,YODA," Always two there are....no more...no less. A maste and an
apprentice",False,The Phantom Menace
332,YODA,A vergence you say,False,The Phantom Menace
333,YODA,Afraid are you,False,The Phantom Menace
334,YODA,Clouded this boy's future is. Masked by his youth,False,The Phantom Menace
335,YODA," The Chosen One the boy may be; nevertheless grave danger I fear in
his training",False,The Phantom Menace
336,YODA,The very Republic is threatened if involved the Sith are,False,The Phantom Menace
337,YODA,Tested he will be.,False,The Phantom Menace
338,YODA,And draw out the Queen's attacker,False,The Phantom Menace
