,Season,Character,lines
958,7,the second guest,1
959,7,the waitress,1
960,7,the writer,1
961,7,transcriberâ€™s note,1
962,7,waitress,1
963,8,rachel,1057
964,8,ross,928
965,8,joey,868
966,8,monica,782
967,8,phoebe,746
968,8,chandler,644
969,8,mona,90
970,8,eric,62
971,8,will,50
972,8,dr. long,37
973,8,mrs. green,37
974,8,parker,33
975,8,the interviewer,32
976,8,dr. green,27
977,8,janice,24
978,8,dina,23
979,8,man,21
980,8,woman,21
981,8,cliff,20
982,8,the cooking teacher,20
983,8,tim,19
984,8,ursula,17
985,8,doug,16
986,8,mrs. geller,16
987,8,nurse,16
988,8,tag,15
989,8,brenda,14
990,8,jim,13
991,8,don,12
992,8,trudie styler,12
993,8,bob,11
994,8,mrs. verhoeven's daughter,10
995,8,mr. franklin,9
996,8,dennis phillips,8
997,8,dr. schiff,8
998,8,kash,8
999,8,mr. treeger,8
1000,8,waiter,8
1001,8,bobby,7
1002,8,cashier,7
1003,8,gunther,7
1004,8,julie,7
1005,8,katie,7
1006,8,little girl,7
1007,8,marc,7
1008,8,the teacher,7
1009,8,boy in the cape,6
1010,8,evil bitch,6
1011,8,guy,6
1012,8,joey's co-star,6
1013,8,mr. geller,6
1014,8,ray,6
1015,8,stu,6
1016,8,ticket agent,6
1017,8,aunt lisa,5
1018,8,kristen,5
1019,8,mr. zelner,5
1020,8,photographer,5
1021,8,stripper,5
1022,8,airline employee,4
1023,8,all,4
1024,8,anxious wedding guest,4
1025,8,girl,4
1026,8,hooker,4
1027,8,joey's date,4
1028,8,mrs. bing,4
1029,8,ross and rachel,4
1030,8,teleplay by,4
1031,8,ballerina,3
1032,8,bandleader,3
1033,8,ben,3
1034,8,doctor,3
1035,8,dr. drake ramoray,3
1036,8,estelle,3
1037,8,gert,3
1038,8,janine,3
1039,8,man at the wedding,3
1040,8,mona's date,3
1041,8,the food critic,3
1042,8,waiter no. 2,3
1043,8,woman at the wedding,3
1044,8,[time lapse,2
1045,8,fat girl,2
1046,8,front desk clerk,2
1047,8,jill,2
1048,8,kids,2
1049,8,mike,2
1050,8,second girl,2
1051,8,sick bastard,2
1052,8,sid,2
1053,8,student,2
1054,8,{transcriberâ€™s note,2
1055,8,[another group of flashbacks begin with episode 513,1
1056,8,[another series of flashbacks begins with episode 413,1
1057,8,[another set of flashbacks begin with episode 521,1
1058,8,[the final one is from episode 607,1
1059,8,[the next one is from episode 204,1
1060,8,[the next one is from episode 224,1
1061,8,[the next one is from episode 304,1
1062,8,[the next one is from episode 322,1
1063,8,[the next one is from episode 401,1
1064,8,[the next one is from episode 417,1
1065,8,[the next one is from episode 507,1
1066,8,[the next one is from episode 512,1
1067,8,[the next one is from episode 603,1
1068,8,[the next one is from episode 604,1
1069,8,[the next one is from episode 605,1
1070,8,[the next one is from episode 608,1
1071,8,[the next one is from episode 609,1
1072,8,[the next one is from episode 613,1
1073,8,[the next one is from episode 619,1
1074,8,[the next one is from episode 706,1
1075,8,[the next one is from episode 711,1
1076,8,[the next one is from episode 712,1
1077,8,[the next one is from episode 722,1
1078,8,"[they gang all lean back to listen better, and this starts another series of flashbacks. the first one is from episode 214",1
1079,8,[this starts a series of flashbacks; the first one is from episode 106,1
1080,8,[this starts another series of flashbacks about joeyâ€™s hobbies. the first one is from episode 703,1
1081,8,ashley,1
1082,8,both,1
1083,8,chandler and monica,1
1084,8,clown,1
1085,8,cowgirl,1
1086,8,director,1
1087,8,erin,1
1088,8,host,1
1089,8,kid,1
1090,8,lauren,1
1091,8,lisa kudrow,1
1092,8,locksmith,1
1093,8,monica and phoebe,1
1094,8,mr. and mrs. geller,1
1095,8,part i written by,1
1096,8,phoebe and rachel,1
1097,8,"phoebe, ross, and rachel",1
1098,8,roger,1
1099,8,ross and will,1
1100,8,the acting teacher,1
1101,8,the girls,1
1102,8,uncle dan,1
1103,8,waitress,1
1104,8,witch,1
1105,8,woman giving birth,1
1106,9,ross,827
1107,9,monica,774
1108,9,joey,765
1109,9,rachel,763
1110,9,chandler,735
1111,9,phoebe,631
1112,9,mike,246
1113,9,charlie,191
1114,9,david,101
1115,9,scene,73
1116,9,amy,56
1117,9,sandy,27
1118,9,mr. geller,22
1119,9,receptionist,20
1120,9,zack,20
1121,9,waiter,17
1122,9,bitsy,16
1123,9,woman,13
1124,9,bill,12
1125,9,hayley,12
1126,9,joey/drake,11
1127,9,janice,10
1128,9,theodore,9
1129,9,manny,8
1130,9,ms. mckenna,8
1131,9,actress/olivia,7
1132,9,gunther,7
1133,9,kori,7
1134,9,nurse,7
1135,9,professor spafford,6
1136,9,sarah,6
1137,9,doctor connelly,5
1138,9,everyone,5
1139,9,tom,5
1140,9,catherine,4
1141,9,kevin,4
1142,9,man with a bow tie,4
1143,9,mary ellen,4
1144,9,mr. oberblau,4
1145,9,prospective nanny,4
1146,9,"rachel, phoebe",4
1147,9,"ross, rachel",4
1148,9,teleplay,4
1149,9,written by,4
1150,9,"', '  scene",3
1151,9,[time lapse,3
1152,9,all,3
1153,9,bitter lady,3
1154,9,director,3
1155,9,dirk,3
1156,9,ken,3
1157,9,rachel and monica,3
1158,9,steve,3
1159,9,transcribed by,3
1160,9,voice outside,3
1161,9,3rd customer,2
1162,9,alexandra steele,2
1163,9,amy ,2
1164,9,assistant,2
1165,9,claudia,2
1166,9,directed by,2
1167,9,dr. gettleman,2
1168,9,girl,2
1169,9,maitre d',2
1170,9,matthew ashford,2
1171,9,message,2
1172,9,monica & chandler,2
1173,9,narrator from tv,2
1174,9,paleontologist,2
1175,9,part 1 written by,2
1176,9,phoebe & mike,2
1177,9,"phoebe, mike",2
1178,9,professore clerk,2
1179,9,rachel/actress,2
1180,9,ross and charlie,2
1181,9,ross and rachel,2
1182,9,"ross, mike",2
1183,9,sally,2
