,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
3376,25.0,MaruÅ¡a Ferk,Slovenia,,SLO,,,2014,Giant Slalom,Women,False
3377,24.0,Sofija NovoseliÄ,Croatia,,CRO,,,2014,Giant Slalom,Women,False
3378,17.0,Agnese ÄboltiÅa,Latvia,,LAT,,,2014,Giant Slalom,Women,False
3379,19.0,Ieva JanuÅ¡keviÄiÅ«tÄ,Lithuania,,LTU,,,2014,Giant Slalom,Women,False
3380,24.0,Marie-MichÃ¨le Gagnon,Canada,,CAN,,,2014,Giant Slalom,Women,False
3381,23.0,Federica Brignone,Italy,,ITA,,,2014,Giant Slalom,Women,False
3382,29.0,Julia Mancuso,United States,,USA,,,2014,Giant Slalom,Women,False
3383,25.0,Marie-Pier PrÃ©fontaine,Canada,,CAN,,,2014,Giant Slalom,Women,False
3384,29.0,Marion Bertrand,France,,FRA,,,2014,Giant Slalom,Women,False
3385,20.0,Wendy Holdener,Switzerland,,SUI,,,2014,Giant Slalom,Women,False
3386,20.0,KateÅina PaulÃ¡thovÃ¡,Czech Republic,,CZE,,,2014,Giant Slalom,Women,False
3387,28.0,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,,,2014,Giant Slalom,Women,False
3319,25.0,Anne-Sophie Barthet,France,,FRA,14.0,2:39.88,2014,Giant Slalom,Women,False
3321,24.0,Francesca Marsaglia,Italy,,ITA,16.0,2:39.92,2014,Giant Slalom,Women,False
3290,35.0,Benjamin Raich,Austria,,AUT,,,2014,Slalom,Male,False
4757,24.0,Marcel Hirscher,Austria,,AUT,4.0,2:46.23,2014,Giant Slalom,Male,False
692,21.0,Ragnhild Mowinckel,Norway,,NOR,27.0,1:44.43,2014,Downhill,Women,False
693,21.0,Yelena Yakovishina,Russia,,RUS,28.0,1:44.45,2014,Downhill,Women,False
694,18.0,Greta Small,Australia,,AUS,29.0,1:44.79,2014,Downhill,Women,False
679,29.0,Verena Stuffer,Italy,,ITA,14.0,1:42.75,2014,Downhill,Women,False
678,29.0,Maria HÃ¶fl-Riesch,Germany,,GER,13.0,1:42.74,2014,Downhill,Women,False
677,28.0,Elena Fanchini,Italy,,ITA,12.0,1:42.70,2014,Downhill,Women,False
668,22.0,Lara Gut,Switzerland,Bronze,SUI,3.0,1:41.67,2014,Downhill,Women,False
4758,33.0,OndÅej Bank,Czech Republic,,CZE,5.0,2:46.29,2014,Giant Slalom,Male,False
4756,22.0,Alexis Pinturault,France,Bronze,FRA,3.0,2:45.93,2014,Giant Slalom,Male,False
674,30.0,Nicole Hosp,Austria,,AUT,9.0,1:42.62,2014,Downhill,Women,False
4755,29.0,Steve Missillier,France,Silver,FRA,2.0,2:45.77,2014,Giant Slalom,Male,False
4754,29.0,Ted Ligety,United States,Gold,USA,1.0,2:45.29,2014,Giant Slalom,Male,False
667,28.0,Dominique Gisin,Switzerland,Gold,SUI,1.0,1:41.57,2014,Downhill,Women,False
669,32.0,Daniela Merighetti,Italy,,ITA,4.0,1:41.84,2014,Downhill,Women,False
676,25.0,Laurenne Ross,United States,,USA,11.0,1:42.68,2014,Downhill,Women,False
670,29.0,Fabienne Suter,Switzerland,,SUI,5.0,1:41.94,2014,Downhill,Women,False
671,18.0,Lotte Sejersted,Norway,,NOR,6.0,1:42.01,2014,Downhill,Women,False
672,25.0,Edit MiklÃ³s,Hungary,,HUN,7.0,1:42.28,2014,Downhill,Women,False
691,21.0,Jacqueline Wiles,United States,,USA,26.0,1:44.35,2014,Downhill,Women,False
690,21.0,Sara Hector,Sweden,,SWE,25.0,1:44.23,2014,Downhill,Women,False
689,21.0,Cornelia HÃ¼tter,Austria,,AUT,24.0,1:43.82,2014,Downhill,Women,False
688,25.0,Kajsa Kling,Sweden,,SWE,23.0,1:43.69,2014,Downhill,Women,False
3289,35.0,Reinfried Herbst,Austria,,AUT,,,2014,Slalom,Male,False
3288,35.0,Patrick Thaler,Italy,,ITA,,,2014,Slalom,Male,False
