,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
327,27,Clemente Tellechea,Argentina,,ARG,60,3:20.2,1960
328,,Im Gyeong-Sun,South Korea,,KOR,61,3:34.4,1960
329,25,Adrien Duvillard,France,,FRA,AC,,1960
330,27,Muzaffer Demirhan,Turkey,,TUR,AC,,1960
331,24,Egon Zimmermann,Austria,Gold,AUT,1,2:18.16,1964
332,26,LÃ©o Lacroix,France,Silver,FRA,2,2:18.90,1964
333,23,Wolfgang Bartels,Germany,Bronze,GER,3,2:19.48,1964
334,22,Jos Minsch,Switzerland,,SUI,4,2:19.54,1964
335,23,Luggi Leitner,Germany,,GER,5,2:19.67,1964
336,23,Guy PÃ©rillat,France,,FRA,6,2:19.79,1964
337,23,Gerhard Nenning,Austria,,AUT,7,2:19.98,1964
338,20,Willy Favre,Switzerland,,SUI,8,2:20.23,1964
339,22,Willy Bogner,Germany,,GER,9,2:20.72,1964
340,24,Heini Messner,Austria,,AUT,10,2:20.74,1964
341,25,Karl Schranz,Austria,,AUT,11,2:20.98,1964
342,26,Fritz Wagnerberger,Germany,,GER,12,2:21.03,1964
343,23,Dumeng Giovanoli,Switzerland,,SUI,13,2:21.16,1964
344,19,"Ni Orsi, Jr.",United States,,USA,14,2:21.59,1964
345,26,FranÃ§ois Bonlieu,France,,FRA,15,2:21.71,1964
346,20,Billy Kidd,United States,,USA,16,2:21.82,1964
347,27,Buddy Werner,United States,,USA,17,2:22.05,1964
348,27,Georg GrÃ¼nenfelder,Switzerland,,SUI,18,2:22.69,1964
349,24,Ivo Mahlknecht,Italy,,ITA,19,2:22.72,1964
350,24,Chuck Ferries,United States,,USA,20,2:23.00,1964
351,29,Paride Milianti,Italy,,ITA,21,2:23.01,1964
352,23,Raimo Manninen,Finland,,FIN,22,2:23.94,1964
353,29,Bruno Alberti,Italy,,ITA,23,2:25.30,1964
354,20,Jerzy Woyna Orlewicz,Poland,,POL,24,2:25.88,1964
355,24,Jean-Guy Brunet,Canada,,CAN,25,2:26.59,1964
356,22,Ulf Ekstam,Finland,,FIN,26,2:27.31,1964
357,24,Martino Fill,Italy,,ITA,27,2:27.33,1964
358,24,Gary Battistella,Canada,,CAN,28,2:27.74,1964
359,26,Peter Lakota,Yugoslavia,,YUG,29,2:27.82,1964
360,21,Rod Hebron,Canada,,CAN,30,2:27.90,1964
361,22,Bengt-Erik Grahn,Sweden,,SWE,31,2:29.29,1964
362,19,Jon Terje Ãverland,Norway,,NOR,32,2:29.74,1964
363,23,Hajime Tomii,Japan,,JPN,33,2:30.02,1964
364,19,Peter Duncan,Canada,,CAN,34,2:30.06,1964
365,20,Luis Viu,Spain,,ESP,35,2:30.35,1964
366,20,Vasily Melnikov,Soviet Union,,URS,36,2:30.83,1964
367,19,Olle RolÃ©n,Sweden,,SWE,37,2:31.14,1964
368,21,Arild Holm,Norway,,NOR,38,2:31.32,1964
369,22,Radim KolouÅ¡ek,Czechoslovakia,,TCH,39,2:31.34,1964
370,22,BronisÅaw Trzebunia,Poland,,POL,40,2:32.29,1964
371,23,Juan Garriga,Spain,,ESP,41,2:32.85,1964
372,20,Jean-Claude Killy,France,,FRA,42,2:32.96,1964
373,22,Javier Masana,Spain,,ESP,43,2:33.52,1964
374,21,John Rigby,Great Britain,,GBR,44,2:34.32,1964
375,21,Yoshiharu Fukuhara,Japan,,JPN,45,2:34.55,1964
376,19,Tsuneo Noto,Japan,,JPN,46,2:34.76,1964
377,24,Tally Monastyryov,Soviet Union,,URS,47,2:35.27,1964
378,18,Hans-Walter SchÃ¤dler,Liechtenstein,,LIE,48,2:35.84,1964
379,19,Andrzej DereziÅski,Poland,,POL,49,2:35.89,1964
380,18,"Charles, Count de Westenholz",Great Britain,,GBR,50,2:36.12,1964
381,21,Fric DetiÄek,Yugoslavia,,YUG,51,2:36.54,1964
382,14,August Wolfinger,Liechtenstein,,LIE,52,2:37.25,1964
383,19,Josef Gassner,Liechtenstein,,LIE,53,2:37.38,1964
384,18,Valery Shein,Soviet Union,,URS,54,2:38.13,1964
385,21,Andrej Klinar,Yugoslavia,,YUG,55,2:39.79,1964
386,23,Charles Palmer-Tomkinson,Great Britain,,GBR,56,2:39.97,1964
387,23,Yoshihiro Ohira,Japan,,JPN,57,2:40.82,1964
388,23,HernÃ¡n Boher,Chile,,CHI,58,2:41.67,1964
389,27,"Karim, Prince Aga Khan",Iran,,IRI,59,2:42.59,1964
390,20,Petar Angelov,Bulgaria,,BUL,60,2:43.32,1964
391,21,Simon Brown,Australia,,AUS,61,2:44.07,1964
392,20,Oto PustoslemÅ¡ek,Yugoslavia,,YUG,62,2:44.77,1964
393,31,Muzaffer Demirhan,Turkey,,TUR,63,2:45.63,1964
394,22,Pedro Klempa,Argentina,,ARG,64,2:47.07,1964
395,25,Lotfollah Kia Shemshaki,Iran,,IRI,65,2:50.70,1964
