Age,Athlete,Country,Medal,NOC,Rank,Time,Year
24,Paul Accola,Switzerland,,SUI,21,90.96,1992
22,Petar Dichev,Bulgaria,,BUL,22,101.59,1992
22,Ricardo Campo,Spain,,ESP,23,104.61,1992
19,Daniel Vogt,Liechtenstein,,LIE,24,112.92,1992
27,Martin Bell,Great Britain,,GBR,25,121.83,1992
20,Marcin SzafraÅski,Poland,,POL,26,133.04,1992
26,Graham Bell,Great Britain,,GBR,27,134.03,1992
24,Sean Langmuir,Great Britain,,GBR,28,142.32,1992
24,Markus Foser,Liechtenstein,,LIE,29,146.89,1992
21,Achim Vogt,Liechtenstein,,LIE,30,172.91,1992
22,Franco Colturi,Italy,,ITA,31,176.69,1992
20,Choi Yong-Hee,South Korea,,KOR,32,221.6,1992
21,Pierre KÅszÃ¡li,Hungary,,HUN,33,226.57,1992
25,Alexis Racloz,Chile,,CHI,34,235.31,1992
26,Emilian FocÈeneanu,Romania,,ROU,35,249.41,1992
33,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,36,259.1,1992
24,PÃ©ter KristÃ¡ly,Hungary,,HUN,37,265.18,1992
24,Lyubomir Popov,Bulgaria,,BUL,,,1992
29,Lothar Christian Munder,Brazil,,BRA,,,1992
23,A J Kitt,United States,,USA,,,1992
23,William Besse,Switzerland,,SUI,,,1992
22,Stephan Eberharter,Austria,,AUT,,,1992
24,Rainer Salzgeber,Austria,,AUT,,,1992
21,Konstantin Chistyakov,Unified Team,,EUN,,,1992
26,Jeff Olson,United States,,USA,,,1992
26,Aleksey Maslov,Unified Team,,EUN,,,1992
27,MariÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,,,1992
21,Mauricio Rotella,Chile,,CHI,,,1992
19,Hur Seung-Wook,South Korea,,KOR,,,1992
24,Peter Jurko,Czechoslovakia,,TCH,,,1992
20,Igor LatinoviÄ,Yugoslavia,,YUG,,,1992
22,Edin TerziÄ,Yugoslavia,,YUG,,,1992
26,Alphonse Gomis,Senegal,,SEN,,,1992
31,Lamine GuÃ¨ye,Senegal,,SEN,,,1992
21,Zoran PeruÅ¡ina,Yugoslavia,,YUG,,,1992
