,Age,Athlete,Country,Medal,NOC,Rank,Time
226,25,Peter Runggaldier,Italy,,ITA,15,1:34.44
227,26,Pietro Vitalini,Italy,,ITA,16,1:34.46
228,27,Christophe PlÃ©,France,,FRA,17,1:34.50
229,24,Patrik JÃ¤rbyn,Sweden,,SWE,18,1:34.51
230,21,Tobias Hellman,Sweden,,SWE,19,1:34.59
231,23,Hans KnauÃ,Austria,,AUT,20,1:34.65
232,26,HansjÃ¶rg Tauscher,Germany,,GER,21,1:34.71
233,21,Miran Ravter,Slovenia,,SLO,22,1:34.73
234,29,Franck Piccard,France,,FRA,23,1:34.75
235,24,Cary Mullen,Canada,,CAN,24,1:34.84
236,24,Fredrik Nyberg,Sweden,,SWE,25,1:34.96
237,27,Brian Stemmle,Canada,,CAN,26,1:34.99
238,21,Daniel Vogt,Liechtenstein,,LIE,27,1:35.08
239,22,Mitja Kunc,Slovenia,,SLO,28,1:35.15
240,22,Jernej Koblar,Slovenia,,SLO,29,1:35.16
241,19,Andrey Filichkin,Russia,,RUS,30,1:35.26
242,22,Nicolas Burtin,France,,FRA,31,1:35.28
243,22,Marco BÃ¼chel,Liechtenstein,,LIE,32,1:35.78
244,23,Kiminobu Kimura,Japan,,JPN,33,1:36.38
245,19,Vasily Bezsmelnitsyn,Russia,,RUS,34,1:36.50
246,26,Lyubomir Popov,Bulgaria,,BUL,35,1:37.01
247,23,Luis Cristobal,Spain,,ESP,36,1:37.31
248,21,Anthony Huguet,Australia,,AUS,37,1:37.44
249,23,Xavier Ubeira,Spain,,ESP,38,1:37.60
250,24,Vicente Tomas,Spain,,ESP,39,1:38.02
251,21,Mika Marila,Finland,,FIN,40,1:38.14
252,20,Vedran Pavlek,Croatia,,CRO,41,1:38.51
253,22,Marcin SzafraÅski,Poland,,POL,42,1:38.54
254,20,Victor GÃ³mez,Andorra,,AND,43,1:38.64
255,23,Gerard Escoda,Andorra,,AND,44,1:38.77
256,22,Attila BÃ³nis,Hungary,,HUN,45,1:38.83
257,22,Ramon Rossell,Andorra,,AND,46,1:40.25
258,27,Alexis Racloz,Chile,,CHI,47,1:41.12
259,21,GÃ¡ston Begue,Argentina,,ARG,48,1:41.21
260,32,Daniel Mahrer,Switzerland,,SUI,AC,
261,26,Hannes Trinkl,Austria,,AUT,AC,
262,25,William Besse,Switzerland,,SUI,AC,
263,24,Tobias Barnerssoi,Germany,,GER,AC,
264,20,Alessandro Fattori,Italy,,ITA,AC,
265,23,Achim Vogt,Liechtenstein,,LIE,AC,
266,20,JÃ¼rgen Hasler,Liechtenstein,,LIE,AC,
267,22,Chad Fleischer,United States,,USA,AC,
268,26,Ralf Socher,Canada,,CAN,AC,
269,28,Graham Bell,Great Britain,,GBR,AC,
270,23,Ed Podivinsky,Canada,,CAN,AC,
271,19,Georges Mendes,Portugal,,POR,AC,
272,26,Nils Linneberg,Chile,,CHI,AC,
273,27,Simon Wi Rutene,New Zealand,,NZL,AC,
274,24,Federico van Ditmar,Argentina,,ARG,AC,
275,18,Santi LÃ³pez,Andorra,,AND,AC,
276,22,Spencer Pession,Great Britain,,GBR,AC,
277,19,Carlos Manuel Bustos,Argentina,,ARG,AC,
278,18,Julien Castellini,Monaco,,MON,AC,
279,25,Kyle Rasmussen,United States,,USA,AC,[1:34.25]
280,25,A J Kitt,United States,,USA,AC,
281,23,Didier Cuche,Switzerland,Silver,SUI,2T,1:35.43
282,26,Hans KnauÃ,Austria,Silver,AUT,2T,1:35.43
283,24,Alessandro Fattori,Italy,,ITA,4,1:35.61
284,26,Kjetil AndrÃ© Aamodt,Norway,,NOR,5,1:35.67
285,28,Patrik JÃ¤rbyn,Sweden,,SWE,6,1:35.72
286,24,Daron Rahlves,United States,,USA,7,1:35.96
287,27,Tommy Moe,United States,,USA,8,1:35.97
288,27,Lasse Kjus,Norway,,NOR,9,1:36.25
289,28,Fredrik Nyberg,Sweden,,SWE,10,1:36.31
290,25,Bruno Kernen,Switzerland,,SUI,11,1:36.37
291,31,Brian Stemmle,Canada,,CAN,12,1:36.40
292,29,Kyle Rasmussen,United States,,USA,13,1:36.52
293,30,Steve Locher,Switzerland,,SUI,14,1:36.62
294,30,Werner Perathoner,Italy,,ITA,15,1:36.64
295,28,Kristian Ghedina,Italy,,ITA,16,1:36.70
296,26,Jernej Koblar,Slovenia,,SLO,17,1:36.84
297,30,Paul Accola,Switzerland,,SUI,18,1:36.87
298,23,Andreas Schifferer,Austria,,AUT,19T,1:37.00
299,29,Peter Runggaldier,Italy,,ITA,19T,1:37.00
300,23,Andrey Filichkin,Russia,,RUS,21,1:37.29
301,21,Enis BeÄirbegoviÄ,Bosnia and Herzegovina,,BIH,22,1:37.58
302,25,Peter Pen,Slovenia,,SLO,23,1:37.81
303,26,Tsuyoshi Tomii,Japan,,JPN,24,1:37.86
304,31,Jean-Luc CrÃ©tier,France,,FRA,25,1:37.95
305,24,JÃ¼rgen Hasler,Liechtenstein,,LIE,26,1:38.32
306,22,Yasuyuki Takishita,Japan,,JPN,27,1:38.39
307,25,AleÅ¡ BrezavÅ¡Äek,Slovenia,,SLO,28,1:38.54
308,23,Vasily Bezsmelnitsyn,Russia,,RUS,29,1:39.39
309,24,Vedran Pavlek,Croatia,,CRO,30,1:39.63
310,32,Graham Bell,Great Britain,,GBR,31,1:39.80
311,20,Renato GaÅ¡par,Croatia,,CRO,32,1:39.85
312,24,Andrew Freshwater,Great Britain,,GBR,33,1:39.89
313,26,Chad Fleischer,United States,,USA,34,1:40.19
314,21,Tejs Broberg,Denmark,,DEN,35,1:41.09
315,40,Igor Yudin,Belarus,,BLR,36,1:45.92
316,25,Marcelo Apovian,Brazil,,BRA,37,1:49.43
317,24,FrÃ©dÃ©ric Marin-Cudraz,France,,FRA,AC,
318,21,ThomÃ¡s Grob,Chile,,CHI,AC,
319,24,Zurab Dzhidzhishvili,Georgia,,GEO,AC,
320,23,Victor GÃ³mez,Andorra,,AND,AC,
321,19,Alex Heath,South Africa,,RSA,AC,
322,28,Stephan Eberharter,Austria,,AUT,AC,[1:35.72]
323,26,Nicolas Burtin,France,,FRA,AC,
324,27,Ed Podivinsky,Canada,,CAN,AC,
325,30,Kjetil AndrÃ© Aamodt,Norway,Gold,NOR,1,1:21.58
326,32,Stephan Eberharter,Austria,Silver,AUT,2,1:21.68
327,27,Andreas Schifferer,Austria,Bronze,AUT,3,1:21.83
328,29,Fritz Strobl,Austria,,AUT,4,1:21.92
329,24,Bjarne Solbakken,Norway,,NOR,5,1:22.10
330,24,Didier DÃ©fago,Switzerland,,SUI,6,1:22.27
331,25,Christoph Gruber,Austria,,AUT,7,1:22.35
332,28,Daron Rahlves,United States,,USA,8,1:22.48
333,26,Thomas Vonn,United States,,USA,9,1:23.22
334,34,Paul Accola,Switzerland,,SUI,10,1:23.33
335,32,Patrik JÃ¤rbyn,Sweden,,SWE,11,1:23.40
