,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
150,27.0,Dimitar Drazhev,Bulgaria,,BUL,39,2:55.6,1952,Downhill,Male,False,0:00.0,True
115,22.0,Bill Beck,United States,,USA,5,2:33.3,1952,Downhill,Male,False,0:00.0,True
114,25.0,Fred Rubi,Switzerland,,SUI,4,2:32.5,1952,Downhill,Male,False,0:00.0,True
113,24.0,Christian Pravda,Austria,Bronze,AUT,3,2:32.4,1952,Downhill,Male,False,0:00.0,True
112,23.0,Othmar Schneider,Austria,Silver,AUT,2,2:32.0,1952,Downhill,Male,False,0:00.0,True
111,31.0,Zeno ColÃ²,Italy,Gold,ITA,1,2:30.8,1952,Downhill,Male,False,0:00.0,True
128,20.0,Ilio Colli,Italy,,ITA,18,2:43.2,1952,Downhill,Male,False,0:00.0,True
129,24.0,Robert Richardson,Canada,,CAN,18,2:43.2,1952,Downhill,Male,False,0:00.0,True
116,24.0,Stein Eriksen,Norway,,NOR,6,2:33.8,1952,Downhill,Male,False,0:00.0,True
131,28.0,Johnny Lunde,Norway,,NOR,20,2:43.6,1952,Downhill,Male,False,0:00.0,True
145,26.0,Guy de Huertas,France,,FRA,35,2:54.4,1952,Downhill,Male,False,0:00.0,True
144,31.0,Sixten Isberg,Sweden,,SWE,34,2:53.4,1952,Downhill,Male,False,0:00.0,True
148,21.0,Peppi Schwaiger,Germany,,GER,38,2:55.5,1952,Downhill,Male,False,0:00.0,True
130,30.0,Silvio AlverÃ,Italy,,ITA,20,2:43.6,1952,Downhill,Male,False,0:00.0,True
146,22.0,"Mihai BÃ®rÄ, Sr.",Romania,,ROU,35,2:54.4,1952,Downhill,Male,False,0:00.0,True
143,22.0,Jack Griffin,Canada,,CAN,32,2:52.2,1952,Downhill,Male,False,0:00.0,True
142,22.0,"Brooks Dodge, Jr.",United States,,USA,32,2:52.2,1952,Downhill,Male,False,0:00.0,True
141,20.0,Gordon Morrison,Canada,,CAN,31,2:51.1,1952,Downhill,Male,False,0:00.0,True
140,21.0,Georgi Dimitrov,Bulgaria,,BUL,30,2:49.9,1952,Downhill,Male,False,0:00.0,True
147,20.0,Francisco Viladomat,Spain,,ESP,37,2:55.4,1952,Downhill,Male,False,0:00.0,True
138,29.0,Otto Linher,Austria,,AUT,28,2:47.9,1952,Downhill,Male,False,0:00.0,True
132,21.0,Andrzej GÄsienica Roj,Poland,,POL,22,2:44.3,1952,Downhill,Male,False,0:00.0,True
137,24.0,Ãke Nilsson,Sweden,,SWE,27,2:47.0,1952,Downhill,Male,False,0:00.0,True
136,23.0,Bernhard Perren,Switzerland,,SUI,26,2:46.1,1952,Downhill,Male,False,0:00.0,True
133,28.0,John Fredriksson,Sweden,,SWE,23,2:44.5,1952,Downhill,Male,False,0:00.0,True
