,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
13,China,Burundi,35.86166,104.195397,-3.373056,29.918886,5.0,8766.0
12,China,Burkina Faso,35.86166,104.195397,12.238333,-1.561593,0.0,8766.0
11,China,Bosnia and Herzegovina,35.86166,104.195397,43.915886,17.679076000000006,0.0,8766.0
10,China,Bolivia,35.86166,104.195397,-16.290154,-63.588653,24.0,8766.0
9,China,Benin,35.86166,104.195397,9.30769,2.315834,0.0,8766.0
8,China,Belarus,35.86166,104.195397,53.709807,27.953389,2.0,8766.0
7,China,Bangladesh,35.86166,104.195397,23.684994,90.356331,1564.0,8766.0
5,China,Bahamas,35.86166,104.195397,25.03428,-77.39628,0.0,8766.0
20,China,Ecuador,35.86166,104.195397,-1.831239,-78.183406,0.0,8766.0
4,China,Armenia,35.86166,104.195397,40.069099,45.038189,0.0,8766.0
3,China,Argentina,35.86166,104.195397,-38.416097,-63.616672,0.0,8766.0
2,China,Angola,35.86166,104.195397,-11.202692,17.873887,1.0,8766.0
51,China,North Korea,35.86166,104.195397,40.339852,127.510093,0.0,8766.0
52,China,Oman,35.86166,104.195397,21.512583,55.92325500000001,0.0,8766.0
53,China,Pakistan,35.86166,104.195397,30.375321000000003,69.345116,3078.0,8766.0
54,China,Peru,35.86166,104.195397,-9.189967,-75.015152,13.0,8766.0
55,China,Romania,35.86166,104.195397,45.943161,24.96676,0.0,8766.0
56,China,Rwanda,35.86166,104.195397,-1.940278,29.873888,0.0,8766.0
58,China,Senegal,35.86166,104.195397,14.497401000000002,-14.452362,16.0,8766.0
59,China,Seychelles,35.86166,104.195397,-4.679574,55.491977,10.0,8766.0
60,China,Sierra Leone,35.86166,104.195397,8.460555000000001,-11.779889,0.0,8766.0
19,China,Djibouti,35.86166,104.195397,11.825138,42.590275,14.0,8766.0
21,China,Egypt,35.86166,104.195397,26.820553000000004,30.802498,3.0,8766.0
50,China,Nigeria,35.86166,104.195397,9.081999,8.675277000000001,115.0,8766.0
36,China,Kenya,35.86166,104.195397,-0.023559,37.906193,27.0,8766.0
48,China,Nicaragua,35.86166,104.195397,12.865416,-85.207229,0.0,8766.0
47,China,Nepal,35.86166,104.195397,28.394857,84.12400799999998,0.0,8766.0
46,China,Namibia,35.86166,104.195397,-22.95764,18.49041,61.0,8766.0
45,China,Myanmar,35.86166,104.195397,21.913965,95.956223,884.0,8766.0
44,China,Morocco,35.86166,104.195397,31.791702,-7.09262,34.0,8766.0
43,China,Mexico,35.86166,104.195397,23.634501,-102.552784,0.0,8766.0
42,China,Mauritania,35.86166,104.195397,21.00789,-10.940835,34.0,8766.0
41,China,Mali,35.86166,104.195397,17.570692,-3.996166000000001,0.0,8766.0
40,China,Malaysia,35.86166,104.195397,4.210483999999999,101.975766,0.0,8766.0
